ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a
AFG,Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a
AFG,Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a
AFG,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,
AFG,Afghanistan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",n/a
AFG,Afghanistan,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",n/a
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a
AFG,Afghanistan,Unemployment rate,Percent of total labor force,,,
AFG,Afghanistan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a
AFG,Afghanistan,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a
AFG,Afghanistan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a
AFG,Afghanistan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a
ALB,Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.5
ALB,Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.338
ALB,Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,009.87"
ALB,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,
ALB,Albania,Total investment,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",27.559
ALB,Albania,Gross national savings,Percent of GDP,,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 09/2022",15.486
ALB,Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.299
ALB,Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 09/2022,10
ALB,Albania,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,27.262
ALB,Albania,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.651
ALB,Albania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,70.152
ALB,Albania,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-8.041
